model_name,GPQA Diamond,AIME 2025,MMLU,MMLU-Pro,SWE-bench Verified,MATH-500,LiveCodeBench,FrontierMath,HLE (Humanity's Last Exam),ARC-AGI-2,BrowseComp,SimpleQA,IFEval,HumanEval,Codeforces Rating,OSWorld,MMMU,MMMU-Pro,Arena-Hard Auto,Chatbot Arena Elo,SWE-bench Pro,AIME 2024,HMMT Feb 2025,Tau-Bench Retail,CritPt,GSM8K,Terminal-Bench 2.0,Terminal-Bench 1.0,ARC-AGI-1,BRUMO 2025,SMT 2025,HMMT Nov 2025,CMIMC 2025,MathArena Apex 2025,LiveBench
o3-mini (high),78.93217893217894,84.09893992932862,83.09523809523812,84.67667790376953,40.26465028355386,97.55700325732899,78.72611464968152,16.997167138810198,20.0,3.8910505836575875,-9.503098614526143,1.018675721561972,87.29582577132487,98.31775700934578,59.909909909909906,74.257229679991,34.744038609819974,19.82374274325148,41.576673866090715,15.853658536585366,94.86702940283256,86.63157894736841,40.83832335329342,54.641047758538306,13.774338023876764,86.37596373281129,58.146870918610084,62.54097117772209,36.702127659574465,48.567187558180564,34.079470729943566,22.10147075055705,1.2601850839830768,27.544514464170113,22.56225834682112
GPT-4.5,66.95526695526696,65.26095197008314,89.5238095238095,75.94238430891818,18.903591682419655,73.94091940084606,58.23661571258055,149.65499907478824,77.07710247616475,1.0376134889753568,191.67733273950495,83.7011884550085,84.57350272232304,77.75700934579439,43.26494892559644,0.7899011999554627,115.87681073726024,239.08141595287705,50.647948164146875,55.958230901837354,124.96089495486696,33.36842105263158,77.03055735957534,30.491882603198057,56.06688433202931,114.82139952343232,120.1234413729246,4.965078780564416,10.957446808510639,76.311042739541,56.13528569374373,123.0746878349249,122.63048093354564,131.38025914578148,145.89266747602562
GPT-4.1,59.59595959595959,36.866902237926965,90.95238095238096,87.43487588109102,50.2835538752363,88.59934853420197,41.27388535031848,64.148892638105,0.0,0.5188067444876784,56.49629732065054,49.40577249575552,86.20689655172414,87.85046728971963,45.36036036036036,10.488159033179041,43.30534688466637,130.39018398059258,61.55507559395249,27.906788240536535,65.57528456158242,43.684210526315795,4.191616766467064,50.12709286752959,12.787066736895325,94.2765443565286,85.65719747110333,54.30463576158942,5.851063829787234,18.185721018109277,1.7523496167997439,88.15121377820682,43.23410715825298,49.63213850253857,15.24794490086423
GPT-4.1 mini,43.290043290043286,9.042099923453002,80.95238095238095,74.37640790847955,32.456018227746014,90.50804251685318,14.276414490577494,76.80393422778722,-33.117505345586125,0.0,58.22316237446313,11.544991511035658,80.21778584392013,84.11214953271028,0.7397042897339661,-33.357941140383,26.955368979231086,166.90480055800185,25.593952483801296,4.271689897255118,12.066880363323769,18.087574620826253,-71.98268067878985,55.24165898590877,-1.2343026370184023,81.45221183625013,92.04144066960025,69.63109170449333,3.723404255319149,-36.21853987411647,-55.70059797394441,117.40397669442955,33.96457519993052,42.62235886388075,-42.57789831608378
o3 (high),90.47619047619048,86.92579505300354,98.33333333333333,93.71743794054552,77.69376181474478,99.6742671009772,80.89171974522293,14.164305949008499,34.58064516129033,8.430609597924773,13.603818615751795,60.10186757215622,94.73684210526315,81.1214953271028,85.85585585585585,40.14321910336679,66.72558550596553,57.87545787545787,87.9049676025918,64.30084621214033,63.61477058459937,96.52631578947368,73.77245508982037,50.232197151731086,7.90960451977401,93.77545066565277,49.67048779185163,54.083885209713024,80.53191489361703,87.79631255487269,84.61956521739128,69.22918166055604,65.72212065813528,-6.584407261317055,37.08473495192014
o4-mini (high),81.38528138528139,91.40164899882215,91.19047619047619,87.58810910205334,75.80340264650282,98.0456026058632,86.49681528662421,33.994334277620396,32.68817204301075,7.911802853437094,5.4237997476111435,10.356536502546692,95.28130671506354,100.0,86.44144144144144,26.472078311396537,64.95802032699959,56.689670612849504,80.56155507559394,58.27264394136452,55.51860746299876,93.05263157894737,60.83832335329342,44.02740183853289,3.389830508474576,91.49560003895772,46.688529309638355,28.256070640176606,62.4468085106383,60.989171788118234,87.17391304347827,74.09394547620957,77.14808043875685,-13.686436557868571,25.322223141659684
GPT-5,91.48629148629149,93.63957597173145,92.85714285714286,95.40300337113085,88.65784499054821,100.0,91.97452229299363,57.22379603399433,67.74193548387098,12.840466926070041,26.014319809069203,70.96774193548387,90.92558983666062,91.58878504672897,78.24324324324324,26.845637583892618,84.8431285903668,65.9752513807214,49.92913788565323,74.39024390243902,55.953079178885645,94.3157894736842,86.7065868263473,55.30262462179824,32.20338983050848,91.9334813453389,49.08256880733945,78.58719646799116,69.8936170212766,75.62189054726369,96.14130434782608,77.16049382716051,89.99085923217551,3.1044776119402986,82.08469055374593
gpt-oss-120B,80.66378066378067,97.52650176678446,90.47619047619048,100.0,65.02835538752362,97.71986970684038,79.87261146496816,-22.9456258303478,44.08354589331696,-41.4358057189039,-30.540689104367363,10.661759938612596,87.29582577132487,87.85046728971963,81.98198198198197,29.393238312204563,82.41143210609147,31.399722732771043,189.78775722249435,45.917527137740784,104.64698358869039,96.42105263157895,90.11616950941968,0.0,-18.22362324496736,98.05859310912588,23.85321100917431,-84.7713937643225,16.31098005827176,78.11555315720545,90.4428894596402,37.69253997843106,58.32730825799746,-34.06103050760437,29.77407318324375
gpt-oss-20B,67.09956709956711,98.46878680800943,79.28571428571428,92.79803861477168,45.368620037807176,96.09120521172638,73.5031847133758,-64.49838666342387,23.37718039635703,-81.35654081390368,-74.42953600948594,-24.557358429837493,81.85117967332124,74.76635514018692,53.37837837837838,4.160235819990524,75.34086975201996,16.850717753784636,266.03424101572347,24.00855456478056,104.59439167629236,98.63157894736842,72.06371769273336,-28.114130912134318,-52.65225824774377,92.84207730158083,0.0,-173.82563579069935,-14.357676955455,57.79846304306721,77.49986976732771,23.018821596512566,45.60930860559243,-72.07071802482551,-8.760388288495802
GPT-5.1,91.05339105339105,92.93286219081273,90.47619047619048,96.16916947594238,91.30434782608694,99.34853420195438,88.78980891719746,73.65439093484419,60.86021505376345,22.827496757457848,38.18615751789976,70.96774193548387,98.17760550111772,91.75345260807418,70.1191130259396,31.702845959989574,84.8431285903668,95.970695970696,54.157001171602275,76.82926829268293,65.3958944281525,95.90496230973167,83.66608214130541,57.36163064540792,30.410963829281012,98.61551774729213,68.0428134556575,70.45798294497028,77.4468085106383,80.47995317529997,93.58695652173913,85.73388203017834,94.28702010968921,3.1044776119402986,61.543051582898876
