model_name,GPQA Diamond,AIME 2025,MMLU,MMLU-Pro,SWE-bench Verified,MATH-500,LiveCodeBench,FrontierMath,HLE (Humanity's Last Exam),ARC-AGI-2,BrowseComp,SimpleQA,IFEval,HumanEval,Codeforces Rating,OSWorld,MMMU,MMMU-Pro,Arena-Hard Auto,Chatbot Arena Elo,SWE-bench Pro,AIME 2024,HMMT Feb 2025,Tau-Bench Retail,Tau-Bench Telecom,Video-MMU,MRCR v2,AA Intelligence Index,AA Long Context Reasoning,CritPt,SciCode,MathVision,GDP-Val AA,GSM8K,IFBench,Terminal-Bench 2.0,Terminal-Bench 1.0,ARC-AGI-1,BRUMO 2025,SMT 2025,USAMO 2025,HMMT Nov 2025,CMIMC 2025,IMO 2025,AIME 2026,MathArena Apex 2025,LiveBench,SimpleBench,BigCodeBench
o3-mini (high),78.93217893217894,84.09893992932862,83.09523809523812,84.67667790376953,40.26465028355386,97.55700325732899,78.72611464968152,16.997167138810198,20.0,3.8910505836575875,-3.9010969902079733,1.018675721561972,87.29582577132487,98.31775700934578,59.909909909909906,55.25810651812934,38.43310974385992,59.34515317685546,41.576673866090715,15.853658536585366,79.39634464698828,86.63157894736841,40.83832335329342,45.06240339773417,75.72092462138886,78.68182139438869,62.23890177418636,60.630591107353176,50.15527921214061,12.175344694846876,54.73724842990873,48.72633646825139,99.93036313972816,89.74767301670711,18.054989237607145,48.2850681422961,37.66186854689528,36.702127659574465,43.323818043610245,39.48813912334861,0.0,-3.413266962301879,8.97825882454911,21.71415229254227,45.25745206768671,-1.571247715207265,30.494355350631547,62.99793343425985,82.56680980586118
GPT-4.5,66.95526695526696,55.70605626591381,89.5238095238095,75.94238430891818,18.903591682419655,105.77022051732607,47.76623467889307,144.22855565444294,49.0205443686962,1.0376134889753568,153.6123751413952,83.7011884550085,84.57350272232304,77.75700934579439,32.919560815421114,-0.6526367432341297,85.0930492882268,198.3904121140104,50.647948164146875,53.516823141689024,82.32814410955577,33.36842105263158,45.89700594369345,47.40322535249564,69.36387488977633,145.7138247307448,168.12338741803566,64.37155079074466,145.48495329126564,46.32020146979139,56.39517967269655,85.36534616849038,112.8471962785215,102.15621951093685,-38.15820257424292,81.46839770389538,26.434053999606792,10.957446808510639,60.61600950069884,87.12986298762996,-22.466435066166547,124.93731273023734,149.70184661632265,91.08537353210185,90.3940059265348,39.83929200180815,120.72512337504457,96.43314992103346,50.58758691589133
GPT-4.1,59.59595959595959,36.866902237926965,90.95238095238096,87.43487588109102,50.2835538752363,88.59934853420197,41.27388535031848,61.25075538515463,0.0,0.5188067444876784,30.46986005743195,49.40577249575552,86.20689655172414,87.85046728971963,45.36036036036036,7.229146434010822,43.30534688466637,137.0215977581342,61.55507559395249,28.243219408552378,48.414915128717176,43.684210526315795,4.191616766467064,48.60372861847456,29.92168884538828,130.3137843327702,84.18491484184915,52.780310386999425,107.55092221062665,17.393587507630343,69.63023603838418,58.79632236411961,186.84147044762622,93.83653960068924,-8.423693958667103,58.38250604833346,54.30463576158942,5.851063829787234,18.987014182412032,29.856688140803058,-28.75062765195522,35.524337455751684,53.834905767417276,25.84398610261148,77.15715673046124,-15.64621717746957,38.06618896004186,142.62643109782414,104.14723704760942
GPT-4.1 mini,43.290043290043286,30.049848362252774,80.95238095238095,76.57864589648008,33.79640129398674,81.85489755543065,27.68386901666277,43.32042647169051,-17.261089014561186,0.0,3.210759115235866,11.544991511035658,80.21778584392013,84.11214953271028,15.02249176323121,4.755302016017322,26.955368979231086,123.31682825190201,25.593952483801296,9.77678459054743,29.48124624188609,27.800416730134877,-29.777953697449565,44.676441344641916,-3.3236976077587395,104.2387313883647,63.319769981050555,23.72391884891647,108.48825860255576,13.96969673443842,97.8272581924267,26.07907082834321,236.11569800039436,85.38668408375074,-39.11425647852194,50.96199331257775,34.952357215147686,3.723404255319149,-9.32008123879361,-5.261804587432034,-58.71537298472882,-11.542033616616745,5.522120060821212,22.753579902495648,89.95248215994495,-21.85722133594761,18.41744049786782,192.7370914019336,93.20987654320987
GPT-4.1 nano,36.507936507936506,17.621388043516824,66.90476190476188,59.16193471546229,18.069325128765243,73.74606721901061,17.037579228865354,79.16225522492326,-6.514365542339121,0.0,44.3093435791856,30.755596394853413,63.70235934664247,61.6822429906542,6.712750128703565,-19.54759880438133,35.90933059768226,146.8135336694841,6.695464362850971,12.895679333782828,10.088141994017825,16.398816428808047,-27.34858026165509,43.49379927422625,-17.55132972874658,109.61706737464263,69.926190493979,16.44420477162092,128.93184418351146,23.71443864259069,80.51607710161511,29.67350883473963,212.0682398635213,71.72465816068342,-47.09666401716238,53.12292370371133,37.16020918079749,0.0,-6.882929842066334,5.0531226840126635,-58.89373058876174,30.842113924999946,46.46171542921694,41.427460270240864,90.20005743680595,-10.847291658884355,36.779214680385195,182.16721139453065,76.16837498887745
o3 (high),90.47619047619048,86.92579505300354,98.33333333333333,93.71743794054552,77.69376181474478,99.6742671009772,80.89171974522293,14.164305949008499,34.58064516129033,8.430609597924773,13.603818615751795,60.10186757215622,94.73684210526315,81.1214953271028,85.85585585585585,55.42214971124563,66.72558550596553,57.87545787545787,87.9049676025918,61.552707510300756,86.15039666238533,96.52631578947368,73.77245508982037,49.81869521599633,110.69803652841743,101.88984942219135,53.642879364627326,96.08845093142033,22.98850574712643,7.90960451977401,-1.5925926115227291,87.58526723041335,10.967977156192443,86.44433584476823,82.65060240963855,48.99048606424562,54.083885209713024,80.53191489361703,87.79631255487269,84.61956521739128,33.13273152791709,55.700751141399,65.72212065813528,12.84499672988882,11.41179582591565,-2.0786516670811923,39.13925076403758,-25.391202193603053,98.97114108752706
o4-mini (high),81.38528138528139,91.40164899882215,91.19047619047619,87.58810910205334,75.80340264650282,98.0456026058632,86.49681528662421,33.994334277620396,32.68817204301075,7.911802853437094,19.58317532865832,10.356536502546692,95.28130671506354,100.0,86.44144144144144,46.855776696931045,64.95802032699959,73.44677096402071,80.56155507559394,54.51149620649126,89.35062769605335,93.05263157894737,60.83832335329342,45.0997808880844,103.4296612375957,114.09877642201523,71.23634130939001,94.53061737005277,42.63450122584463,3.389830508474576,11.072246939437617,89.38811139242375,41.454984997398725,91.34612324017135,63.35978085458583,50.45366265722362,28.256070640176606,62.4468085106383,60.989171788118234,87.17391304347827,28.786359077231694,56.205887908714296,77.14808043875685,9.731850882930019,22.873156810686204,-4.961103051026614,41.912081088757105,0.5834947607176014,101.00182645063127
GPT-5,91.48629148629149,93.63957597173145,92.85714285714286,95.40300337113085,88.65784499054821,100.0,91.97452229299363,57.22379603399433,67.74193548387098,12.840466926070041,26.014319809069203,70.96774193548387,90.92558983666062,91.58878504672897,78.24324324324324,26.845637583892618,84.8431285903668,82.78424087249657,50.199012341873605,74.39024390243902,55.953079178885645,94.3157894736842,86.7065868263473,68.04666449159544,95.42743538767397,111.20868758511074,49.19402712547756,77.27272727272727,98.85057471264358,32.20338983050848,-0.09662836228778257,84.0807108804015,26.555569221092906,85.53906419752553,65.0504962890136,49.08256880733945,78.58719646799116,69.8936170212766,75.62189054726369,96.14130434782608,42.98874944397778,77.16049382716051,89.99085923217551,40.876389797253104,27.99573621440322,3.1044776119402986,82.08469055374593,0.0,97.04480446030931
gpt-oss-120B,80.66378066378067,97.52650176678446,90.47619047619048,100.0,65.02835538752362,97.71986970684038,79.87261146496816,-58.33748819878748,22.862783191435696,-23.486466717724326,-43.03558683016546,-3.945338384282973,87.29582577132487,87.85046728971963,81.98198198198197,81.54572457109458,33.7078557662645,-0.24373805781037353,160.2752557115157,37.11005074461356,144.51968442437794,96.42105263157895,74.86869582397257,0.0,153.89837863213063,94.0129097853849,73.27024288167934,125.19589640575846,-66.49076141989624,-29.78765003760559,-9.948540153287183,104.02140289353949,-23.519404644295726,88.5080803617059,108.17408145233945,23.85321100917431,-4.9235347314195055,11.179044643008199,69.9266293755573,72.51072341329014,80.18868655556525,5.6718718954062926,24.28053146457054,-69.4183350092967,-24.689940981434447,-26.4373697391429,3.380696413596053,-86.08713242259931,105.35187116947394
gpt-oss-20B,67.09956709956711,98.46878680800943,79.28571428571428,92.79803861477168,45.368620037807176,96.09120521172638,73.5031847133758,-64.58010501260519,14.916185788657835,-49.902047066588274,-47.720132146691085,-21.822727875162677,81.85117967332124,74.76635514018692,53.37837837837838,52.401501256847105,35.73818142458335,11.313155887369824,196.6040589876228,26.375279040156798,139.44698849841438,98.63157894736842,66.90406173758505,-13.773028284825989,150.6569173489142,132.36672716771344,71.60873930077696,148.99386995830523,-94.88436417788763,-51.103467615124934,-48.74192981740999,137.10760738271375,-43.44599193179262,77.16019546526991,147.13205100394168,0.0,-19.744967212897244,-6.847850491920171,61.970238201146714,78.44549343290684,105.42532994118748,41.9422136702791,64.4887838103507,-122.52812253111476,-50.17600799031898,-55.43820846042949,-16.265947408660985,-121.95963291947629,131.6607679134266
