model_name,AIME 2024,AIME 2025,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,Chatbot Arena Elo,Codeforces Rating,FrontierMath,GPQA Diamond,HLE (Humanity's Last Exam),HMMT Feb 2025,HumanEval,IFEval,LiveCodeBench,MATH-500,MMLU,MMLU-Pro,MMMU,SimpleQA,SWE-bench Verified,Terminal-Bench 2.0
Claude 3.7 Sonnet,80.0,52.7,28.6,1.0,63.9,1372.0,1640.0,5.0,84.8,,,94.0,93.2,65.0,96.2,89.0,78.0,71.6,26.0,62.3,
Claude Haiku 4.5,,96.3,47.7,4.0,,,,,80.9,,,91.5,85.0,52.0,90.2,82.0,75.0,,,73.3,28.3
Claude Opus 4,75.5,90.0,35.7,8.6,59.7,,1886.0,10.0,83.3,7.1,15.9,,89.7,47.4,94.4,88.8,86.6,76.5,22.8,79.4,43.2
Claude Opus 4.1,,49.6,,,,,,15.0,80.9,35.0,,93.0,,63.2,,88.8,87.92,,43.5,74.5,38.0
Claude Opus 4.5,90.0,92.8,80.0,37.6,,1468.0,2070.0,21.0,87.0,37.6,92.9,95.1,90.0,68.0,85.0,90.8,80.0,80.7,72.0,80.9,57.8
Claude Opus 4.6,,100.0,94.0,68.8,,1502.0,2650.0,40.0,91.3,40.0,,95.0,94.0,76.0,93.0,90.8,82.0,77.0,72.0,80.8,62.9
Claude Sonnet 4,43.4,76.3,40.0,5.9,51.6,,,,75.4,5.8,15.9,88.0,87.6,48.5,94.0,86.5,83.7,74.4,15.9,72.7,38.5
Claude Sonnet 4.5,88.0,87.0,63.7,13.6,,,1480.0,,83.4,19.8,79.2,85.0,88.5,68.0,95.8,86.5,87.5,77.8,47.0,77.2,42.8
Claude Sonnet 4.6,,97.0,55.0,60.4,,,2010.0,35.0,74.1,38.0,,93.0,92.0,74.0,96.5,90.0,80.0,74.2,68.0,79.6,59.1
Command A,30.0,,,,72.0,,,,45.0,,,82.9,84.3,28.0,80.0,85.5,63.5,,32.0,38.0,
