model_name,AIME 2024,AIME 2025,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,BrowseComp,BRUMO 2025,Chatbot Arena Elo,CMIMC 2025,Codeforces Rating,FrontierMath,GPQA Diamond,HLE (Humanity's Last Exam),HMMT Feb 2025,HumanEval,IFEval,LiveCodeBench,MATH-500,MathArena Apex 2025,MMLU,MMLU-Pro,MMMU,OSWorld,SimpleQA,SMT 2025,SWE-bench Pro,SWE-bench Verified,Terminal-Bench 2.0,Terminal-Bench 1.0
Claude 3.7 Sonnet,80.0,52.7,28.6,1.0,63.9,68.24375,65.83,1372.0,81.87705882352941,1640.0,5.0,84.8,25.5028947368421,67.71724137931035,94.0,93.2,65.0,96.2,7.753125,89.0,78.0,71.6,28.0,26.0,56.6,25.6,62.3,40.48571428571428,35.2
Claude Haiku 4.5,74.30754716981131,96.3,47.7,4.0,67.62727272727273,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,80.9,25.5028947368421,67.71724137931035,91.5,85.0,52.0,90.2,7.753125,82.0,75.0,79.20392857142858,50.7,38.55416666666667,85.11368421052632,39.45,73.3,28.3,28.31111111111111
Claude Opus 4,75.5,90.0,35.7,8.6,59.7,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1886.0,10.0,83.3,7.1,15.9,87.3465,89.7,47.4,94.4,7.753125,88.8,86.6,76.5,38.2,22.8,85.11368421052632,35.8,79.4,43.2,39.0
Claude Opus 4.1,74.30754716981131,49.6,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,15.0,80.9,35.0,67.71724137931035,93.0,86.22666666666666,63.2,93.96101694915255,7.753125,88.8,87.92,79.20392857142858,44.4,43.5,85.11368421052632,22.7,74.5,38.0,43.8
Claude Opus 4.5,90.0,92.8,80.0,37.6,67.62727272727273,67.8,91.97263157894737,1468.0,81.87705882352941,2070.0,21.0,87.0,37.6,92.9,95.1,90.0,68.0,85.0,7.753125,90.8,80.0,80.7,66.3,72.0,85.11368421052632,45.89,80.9,57.8,28.31111111111111
Claude Opus 4.6,74.30754716981131,100.0,94.0,68.8,67.62727272727273,84.0,91.97263157894737,1502.0,81.87705882352941,2650.0,40.0,91.3,40.0,67.71724137931035,95.0,94.0,76.0,93.0,7.753125,90.8,82.0,77.0,72.7,72.0,85.11368421052632,55.6,80.8,62.9,28.31111111111111
Claude Sonnet 4,43.4,76.3,40.0,5.9,51.6,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,75.4,5.8,15.9,88.0,87.6,48.5,94.0,7.753125,86.5,83.7,74.4,42.0,15.9,85.11368421052632,42.7,72.7,38.5,36.4
Claude Sonnet 4.5,88.0,87.0,63.7,13.6,67.62727272727273,68.24375,90.83,1428.7916666666667,66.88,1480.0,22.295454545454547,83.4,19.8,79.2,85.0,88.5,68.0,95.8,1.56,86.5,87.5,77.8,61.4,47.0,83.96,43.6,77.2,42.8,51.0
Claude Sonnet 4.6,74.30754716981131,97.0,55.0,60.4,67.62727272727273,78.0,91.97263157894737,1428.7916666666667,81.87705882352941,2010.0,35.0,74.1,38.0,67.71724137931035,93.0,92.0,74.0,96.5,7.753125,90.0,80.0,74.2,72.5,68.0,85.11368421052632,48.2,79.6,59.1,28.31111111111111
Command A,30.0,80.394,46.129999999999995,17.54516129032258,72.0,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,45.0,25.5028947368421,67.71724137931035,82.9,84.3,28.0,80.0,7.753125,85.5,63.5,79.20392857142858,52.42631578947368,32.0,85.11368421052632,41.94842105263158,38.0,40.48571428571428,28.31111111111111
DeepSeek-R1,79.8,70.0,15.0,1.3,92.3,68.24375,80.83,1382.0,81.87705882352941,2029.0,22.295454545454547,71.5,8.5,41.7,96.1,83.3,65.9,97.3,7.753125,90.8,84.0,79.20392857142858,52.42631578947368,30.1,66.51,41.94842105263158,49.2,40.48571428571428,5.7
DeepSeek-R1-0528,91.4,87.5,21.2,1.1,67.62727272727273,68.24375,92.5,1420.0,69.38,1930.0,10.0,81.0,17.7,79.4,85.6,79.1,73.1,97.3,1.04,90.8,85.0,79.20392857142858,52.42631578947368,27.8,83.02,41.94842105263158,57.6,40.48571428571428,28.31111111111111
DeepSeek-V3,39.2,39.2,46.129999999999995,17.54516129032258,85.5,68.24375,91.97263157894737,1382.0,81.87705882352941,1134.0,22.295454545454547,59.1,25.5028947368421,67.71724137931035,65.2,86.1,39.2,90.2,7.753125,88.5,75.9,79.20392857142858,52.42631578947368,24.9,85.11368421052632,41.94842105263158,42.0,40.48571428571428,28.31111111111111
DeepSeek-V3-0324,59.4,46.7,46.129999999999995,17.54516129032258,39.9,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1650.0,22.295454545454547,68.4,5.2,27.5,85.0,81.1,49.2,94.0,7.753125,89.4,81.2,79.20392857142858,52.42631578947368,27.7,85.11368421052632,41.94842105263158,38.8,40.48571428571428,28.31111111111111
DeepSeek-V3.2,93.0,93.1,46.129999999999995,17.54516129032258,67.62727272727273,51.4,96.67,1428.7916666666667,83.75,2386.0,8.0,82.4,25.1,92.5,90.0,89.0,83.3,97.3,2.08,90.5,85.0,79.20392857142858,52.42631578947368,35.0,87.74,41.94842105263158,73.0,39.6,28.31111111111111
DeepSeek-V3.2-Speciale,96.0,96.0,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,99.17,1428.7916666666667,94.38,2701.0,22.295454545454547,85.7,30.6,99.2,91.5,88.0,88.7,98.0,9.38,86.33401639344262,87.5,79.20392857142858,52.42631578947368,38.55416666666667,89.15,41.94842105263158,76.0,40.48571428571428,28.31111111111111
Doubao Seed 2.0 Pro,98.3,98.3,46.129999999999995,17.54516129032258,67.62727272727273,77.3,91.97263157894737,1428.7916666666667,81.87705882352941,3020.0,22.295454545454547,88.9,40.0,67.71724137931035,92.0,88.5,88.0,93.96101694915255,7.753125,90.0,88.0,85.4,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,76.5,55.8,28.31111111111111
EXAONE 4.0 32B,72.1,85.3,46.129999999999995,17.54516129032258,80.0,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1650.0,22.295454545454547,75.4,25.5028947368421,72.9,90.2,88.0,72.6,96.4,7.753125,84.0,81.8,79.20392857142858,52.42631578947368,30.0,85.11368421052632,41.94842105263158,45.0,40.48571428571428,28.31111111111111
