model_name,GPQA Diamond,AIME 2025,MMLU,MMLU-Pro,SWE-bench Verified,MATH-500,LiveCodeBench,FrontierMath,HLE (Humanity's Last Exam),ARC-AGI-2,SimpleQA,IFEval,HumanEval,Codeforces Rating,MMMU,Arena-Hard Auto,Chatbot Arena Elo,AIME 2024,HMMT Feb 2025,Terminal-Bench 2.0,ARC-AGI-1
o3-mini (high),78.01204819277109,84.09893992932862,82.76280650643362,84.67667790376953,40.26465028355386,93.11926605504588,78.72611464968152,16.997167138810198,20.0,3.8910505836575875,1.018675721561972,80.44692737430168,98.31775700934578,59.909909909909906,43.179633202385,38.93905191873589,15.853658536585366,85.77827547592385,40.83832335329342,28.896053488312123,36.36363636363637
GPT-4.5,65.51204819277109,24.96879295116954,89.3177955814518,75.94238430891818,18.903591682419655,40.801749798906584,36.415029799060434,2.6320343937590116,-32.88643332047293,1.0376134889753568,83.7011884550085,76.25698324022346,77.75700934579439,10.554722108330632,-12.363881530497961,48.419864559819416,16.085342627641392,29.115341545352745,-50.712567417536945,67.33263965864155,10.481283422459894
GPT-4.1,57.831325301204814,36.866902237926965,90.77445982034476,87.43487588109102,50.2835538752363,67.88990825688074,41.27388535031848,5.995973789560697,0.0,0.5188067444876784,49.40577249575552,78.7709497206704,87.85046728971963,45.36036036036036,29.62150301700491,59.819413092550796,28.071463210631165,40.089585666293395,4.191616766467064,50.95676169921228,5.347593582887701
o3 (high),90.06024096385542,86.92579505300354,98.30055838795823,93.71743794054552,77.69376181474478,99.08256880733943,80.89171974522293,14.164305949008499,34.58064516129033,8.430609597924773,60.10186757215622,91.8994413407821,81.1214953271028,85.85585585585585,58.69445968184308,87.35891647855532,56.77589343378805,96.30459126539755,73.77245508982037,46.662910641258414,80.42780748663102
o4-mini (high),80.57228915662651,91.40164899882215,91.01723719349356,87.58810910205334,75.80340264650282,94.49541284403668,86.49681528662421,33.994334277620396,32.68817204301075,7.911802853437094,10.356536502546692,92.73743016759778,100.0,86.44144144144144,56.500274273176096,79.68397291196389,51.51078862967523,92.60918253079508,60.83832335329342,41.98312156081485,62.24598930481283
GPT-5,91.1144578313253,93.63957597173145,92.71667880553532,95.40300337113085,88.65784499054821,100.0,91.97452229299363,57.22379603399433,67.74193548387098,12.840466926070041,70.96774193548387,86.03351955307262,91.58878504672897,78.24324324324324,81.18486012068023,131.30540267312057,74.39024390243902,93.95296752519596,86.7065868263473,49.08256880733945,69.73262032085562
gpt-oss-120B,79.81927710843374,97.52650176678446,90.2889050740471,100.0,65.02835538752362,93.57798165137612,79.87261146496816,12.104004350796219,45.863410829258235,-4.07117561000191,24.00080840916711,80.44692737430168,87.85046728971963,81.98198198198197,65.47384338291013,65.65310083011805,49.02442232522037,96.19260918253079,86.25849110204666,23.85321100917431,39.42446919049397
gpt-oss-20B,65.66265060240963,98.46878680800943,78.87836853605243,92.79803861477168,45.368620037807176,88.99082568807337,73.5031847133758,-21.660217604295497,25.042934893894298,-33.04367619762221,-6.811750607716701,72.06703910614524,74.76635514018692,53.37837837837838,52.45096251559624,6.412306231243751,26.864691457452437,98.54423292273236,70.59704571308038,0.0,13.754221659596823
GPT-5.1,90.66265060240963,92.93286219081273,90.2889050740471,96.16916947594238,91.30434782608694,98.16513761467888,88.78980891719746,73.65439093484419,60.86021505376345,22.827496757457848,70.96774193548387,89.12374411545296,92.66236833690004,75.51931934898012,81.18486012068023,148.95773970705602,76.82926829268293,96.66294694973794,95.84689518435331,68.0428134556575,77.32620320855614
GPT-5.2,98.34337349397592,100.0,85.43335761107065,94.94330370824396,98.29867674858222,100.0,86.24203821656052,100.0,67.74193548387098,68.61219195849546,76.06112054329373,100.0,93.45794392523365,90.09009009009009,94.73395501919916,182.97869594749878,62.19512195121951,100.0,100.0,77.82874617737002,96.2566844919786
GPT-5.3-Codex,79.96987951807229,92.93286219081273,100.0,95.80382483726996,54.44234404536861,84.40366972477062,92.61146496815287,67.2169129355116,58.47777768673847,49.486339331031665,76.90512852346212,91.62011173184358,89.7196261682243,66.7021426571462,80.0877674163467,165.78560462865244,75.43308879658603,85.67597893426365,72.18919506185728,94.18960244648318,73.04500790887467
Claude 3.7 Sonnet,85.69277108433734,44.28739693757361,87.86113134255888,81.61201348452344,64.83931947069942,85.3211009174312,67.13375796178345,0.0,-0.9974763928172715,1.297016861219196,21.731748726655354,94.97206703910615,91.58878504672897,37.83783783783784,12.068019747668622,62.528216704288944,20.73170731707317,77.60358342665174,10.158062122662761,49.516612653526835,30.053475935828878
Claude Sonnet 4,71.53614457831326,72.08480565371023,81.7916970138383,90.34630707937481,84.49905482041588,75.22935779816513,46.11464968152866,3.62953897467845,4.516129032258063,7.652399481193256,4.584040747028864,79.32960893854747,80.37383177570094,37.404408773568946,27.42731760833792,48.645598194130926,29.776203923071137,36.61814109742442,0.0,54.12844036697248,42.24598930481284
Claude Opus 4,83.43373493975903,88.22143698468787,87.37557659626121,94.79007048728162,97.16446124763705,77.06422018348626,44.71337579617833,14.164305949008499,7.311827956989246,11.154345006485086,16.298811544991516,85.19553072625699,93.36330449886219,48.91891891891892,38.94679100383981,57.787810383747185,36.62225671408882,72.56438969764838,0.0,61.314984709480115,37.64705882352942
Claude Opus 4.1,79.81927710843374,40.63604240282685,87.37557659626121,96.81274900398407,87.90170132325142,80.26440413092527,64.8407643312102,28.328611898016998,67.31182795698925,26.71291638006415,51.44312393887947,79.05644540932897,89.7196261682243,58.27162462782497,54.33863609694337,116.08041893286043,57.608665687258906,78.9760758233039,63.35704640366608,53.36391437308868,52.94593005657768
Claude Sonnet 4.5,83.5843373493976,84.68786808009423,81.7916970138383,96.16916947594238,93.00567107750473,83.48623853211006,70.95541401273886,42.98562351189068,34.623655913978496,17.639429312581065,57.385398981324286,81.8435754189944,74.76635514018692,30.630630630630627,46.077893582007654,120.75188622044526,59.756365725806866,86.56215005599104,75.80838323353294,60.70336391437308,67.59358288770055
Claude Haiku 4.5,79.81927710843374,95.64193168433451,70.8667152221413,77.01501685565431,85.63327032136104,57.79816513761469,50.57324840764331,34.4053499312579,50.070857097543445,5.188067444876784,41.684772185839705,72.06703910614524,86.91588785046729,60.10010295371585,59.55477312236663,95.3252084400307,54.18687401174702,80.11460236129786,76.85331279168295,38.532110091743114,50.481283422459896
Claude Opus 4.5,89.00602409638554,91.51943462897526,92.23112405923767,84.67667790376953,100.0,33.94495412844037,70.95541401273886,45.3257790368272,72.90322580645162,48.76783398184177,99.83022071307302,86.03351955307262,93.6448598130841,57.20720720720721,61.985737794843686,174.18781643746505,79.26829268292683,88.80179171332587,92.21556886227546,83.63914373088683,85.02673796791443
Claude Opus 4.6,95.48192771084337,100.0,92.23112405923767,87.74134232301563,99.81096408317579,70.64220183486238,81.14649681528662,99.1501416430595,78.06451612903224,89.23476005188068,99.83022071307302,97.20670391061452,93.45794392523365,83.33333333333334,41.68952276467361,217.36545767732795,100.0,82.45523510959727,81.94463343042406,91.43730886850152,100.0
Claude Sonnet 4.6,69.57831325301204,96.46643109540636,90.2889050740471,84.67667790376953,97.54253308128543,86.697247706422,78.59872611464968,84.98583569405099,73.76344086021504,78.33981841763944,93.03904923599322,91.62011173184358,89.7196261682243,54.5045045045045,26.33022490400439,186.91928157650156,79.05503837942526,75.87270058478873,63.74277764271963,85.6269113149847,58.288770053475936
Gemini 2.0 Flash,69.7289156626506,40.113084043505204,57.271182325807246,79.16028194912657,26.46502835538752,28.899082568807376,41.91082802547771,0.7396895937295251,-5.952020127769911,1.297016861219196,23.4295415959253,58.100558659217874,70.28037383177569,25.021512640234608,7.131102578167843,46.83972911963883,20.551440172680834,70.10078387458006,-2.330345764633793,40.22578250506624,13.066623139041877
Gemini 2.5 Pro,84.48795180722891,84.33451118963487,89.80335032774944,93.25773827765859,67.67485822306237,90.3669724770642,74.0127388535032,0.0,32.473118279569896,6.355382619974061,67.402376910017,88.26815642458101,89.8463917281325,54.0990990990991,67.47120131651127,92.88939051918736,60.36585365853659,91.0414333706607,79.76047904191617,45.10703363914373,43.31550802139038
Gemini 2.5 Flash,75.90361445783131,67.02002355712602,78.15003641660597,86.36224333435489,67.67485822306237,80.73394495412843,65.73248407643312,15.371762143946889,25.59139784946236,3.24254215304799,25.297113752122247,70.11173184357541,84.48598130841121,53.82882882882883,22.490400438837064,85.10158013544019,42.076375132469416,86.56215005599104,57.84431137724552,21.100917431192656,35.080213903743314
