model_name,AA Intelligence Index,AA Long Context Reasoning,AIME 2024,AIME 2025,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,BigCodeBench,BrowseComp,BRUMO 2025,Chatbot Arena Elo,CMIMC 2025,Codeforces Rating,CritPt,FrontierMath,GPQA Diamond,GSM8K,HLE (Humanity's Last Exam),HMMT Feb 2025,HMMT Nov 2025,HumanEval,IFBench,IFEval,IMO 2025,LiveBench,LiveCodeBench,MATH-500,MathArena Apex 2025,MMLU,MMLU-Pro,MMMU,MMMU-Pro,MRCR v2,OSWorld,SimpleBench,SimpleQA,SMT 2025,SWE-bench Pro,SWE-bench Verified,Tau-Bench Retail,Tau-Bench Telecom,Terminal-Bench 2.0,Terminal-Bench 1.0,USAMO 2025,Video-MMU
Amazon Nova Premier,79.04705850407557,65.86817520512267,50.638735384325734,57.676006765523695,1.2656106960652755,-11.488444894535037,47.705465843675135,44.350910082489705,28.874385773824656,72.2594224407628,1407.815955482718,53.389072239496805,1967.9583134549523,-6.38863028615808,-10.231796582569155,55.0,92.31640829312602,-0.6238423226360806,19.58065892544672,75.49356660338242,80.0,27.282986340260837,82.0,-13.741758351419495,42.466322381707855,45.83730417086414,82.0,-12.569974252175637,87.4,67.02533558222743,65.0,67.9497929478216,89.42884094399211,20.051065880540666,61.396169242345664,20.78310254412397,64.56847963604152,25.80350097167709,42.4,72.2237418216974,62.804575422381596,4.198002434728473,10.46342689263828,-3.5728995933343364,89.25240153963783
Amazon Nova Pro,84.5477858846401,63.74672510831183,39.249795210810866,49.654290757634435,-12.443231727883813,-20.77605454428255,33.10840956267333,43.20294860182349,19.913033054321296,67.02107732444931,1397.355496313816,46.86188398074882,1973.0979595655635,-10.27919166043882,-18.61031760165973,46.9,90.55274575267964,-8.697683443064468,1.8892512793852432,73.09326773447104,78.0,18.431003633937156,80.0,-28.281242738423177,37.66271851678844,38.17637763403171,74.0,-17.378915609984436,85.9,62.080578020013284,65.93723402654732,65.79669273996056,97.00249691898875,10.45889624367575,61.12793050578377,13.829665887302685,59.06917503571146,21.738572198816705,34.444320121244054,68.42652029237222,55.54277464707526,-6.24134212251839,1.7880355287719993,-12.237244338636371,92.00620552040102
Claude 3.7 Sonnet,63.18829469779303,67.99606783787252,80.0,52.7,28.6,1.0,63.9,46.14613802031679,42.04710860416074,65.83,1372.0,59.753939980983,1640.0,1.0074854394926311,5.0,84.8,88.84527908792958,12.985669366623723,48.66077263557523,74.6862248744281,94.0,36.455875339489765,93.2,13.004613654810196,47.371696585621955,65.0,96.2,-5.037769911629305,89.0,78.0,71.6,69.19806312942738,61.516626246118605,28.0,57.27385822274437,26.0,56.6,25.6,62.3,81.2,49.0,23.30598168595185,35.2,3.65,77.25955575954919
Claude Haiku 4.5,62.327375119946,70.12567996833678,81.9840003603364,96.3,47.7,4.0,88.31901027752882,46.177426045671574,54.23547270417035,85.81211244121421,1404.361831954482,71.65144753918678,1974.5483337448284,4.803507781796296,14.450613920468752,80.9,96.02707174100175,22.65354002771265,70.07476081991226,81.17175033840533,91.5,53.44477978455909,85.0,27.98611424582447,45.3,52.0,90.2,1.8719064853755332,82.0,75.0,76.09518276466234,72.48666607730225,68.76336166323621,50.7,61.33838477426569,40.470645372683414,79.06155797510081,39.45,73.3,80.85603651530208,82.30071241934311,28.3,34.01057702547485,22.453838572090906,80.3080791668834
Claude Opus 4,70.91788077584364,73.27026487524193,75.5,90.0,35.7,8.6,59.7,49.417076950845214,44.97320390605268,84.1537228236326,1491.847235927589,65.27707858369507,1886.0,0.3,10.0,83.3,97.65563376218837,7.1,15.9,81.77711121088446,88.86570301792011,40.515137938647584,89.7,11.621671440261581,51.59284754812658,47.4,94.4,-5.643145155317296,88.8,86.6,76.5,74.92888396126446,72.7513828877274,38.2,63.206692004169234,22.8,76.53472242502674,35.8,79.4,81.4,77.979995596973,43.2,39.0,8.687871016004387,86.0400937743837
Claude Opus 4.1,62.65974962893828,72.12156980013403,83.61253164119915,49.6,40.02430207453447,14.879815883146586,89.9553886538007,47.86955466325911,54.601570166975065,87.2664234090463,1437.8117852116698,71.84052867639826,1918.425508988274,4.919237121307478,15.0,80.9,96.97234207325855,35.0,70.61082377391966,82.12303783983751,93.0,52.15149027001088,86.83200748917467,28.44354231003039,54.5,63.2,96.87425367065359,1.1575178367998158,88.8,87.92,77.73065629596161,74.17429910895558,65.91461319294804,44.4,61.842372166119404,43.5,80.32659971908299,22.7,74.5,83.46189442477318,83.7055040297433,38.0,43.8,20.92497387499595,80.7340634238477
Claude Opus 4.5,56.081541677773465,75.0,90.0,92.8,80.0,37.6,114.24442776667513,49.18061367443401,67.8,96.97505416130419,1468.0,84.78303913384914,2070.0,11.07801922555456,21.0,87.0,102.34631059799405,37.6,92.9,87.88284413639627,95.1,70.09952734495607,90.0,51.83518527148977,76.0,68.0,85.0,9.812895167036649,90.8,80.0,80.7,78.15101711898173,60.82230028171462,66.3,62.0,72.0,90.43671333154384,45.89,80.9,88.9,98.2,57.8,48.20877394839874,37.641383796413685,68.4
Claude Opus 4.6,53.0,76.26795540306692,111.7437038727951,100.0,94.0,68.8,125.90248616496191,47.55602383692058,84.0,104.45139795958882,1502.0,97.5296388565965,2650.0,12.6,40.0,91.3,112.21682380069012,40.0,116.96385810048078,95.88802023753179,95.0,89.20199781623461,94.0,60.91217464658909,74.10432190931796,76.0,93.0,16.30577278836276,90.8,82.0,77.0,77.3,93.0,72.7,67.6,72.0,98.06314326791335,55.6,80.8,91.9,98.2,62.9,46.62359438346453,53.38674575284312,87.10257721977979
Claude Sonnet 4,73.61385511666153,70.12633899426723,43.4,76.3,40.0,5.9,51.6,46.86918567555013,41.1505193027093,80.67935723995477,1453.1100012734928,63.021884580051534,2001.0430797219994,-1.4671552693253758,0.4020026292802385,75.4,96.63105845927656,5.8,15.9,80.27425707590244,88.0,42.3,87.6,4.869023679143831,49.6332862606812,48.5,94.0,-6.625114625581236,86.5,83.7,74.4,72.28008900841135,81.3849199578246,42.0,63.085017863277216,15.9,73.15387295417851,42.7,72.7,80.5,73.64762465168111,38.5,36.4,7.536832002541821,87.61045476089491
Claude Sonnet 4.5,47.327072919551384,72.31357685247033,88.0,87.0,63.7,13.6,105.30670924521702,48.79347162689,62.04741961867551,90.83,1373.6027899853384,66.88,1480.0,10.465684696377751,22.362115739218027,83.4,89.99471796302072,19.8,79.2,78.05561227111131,85.0,54.40019785099834,88.5,47.93800961766708,53.7,68.0,95.8,1.56,86.5,87.5,77.8,63.4,10.8,61.4,55.79335366911548,47.0,83.96,43.6,77.2,86.2,98.0,42.8,51.0,26.21103631898393,67.44908515293069
