,model_name,AA Intelligence Index,AIME 2024,AIME 2025,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,BrowseComp,BRUMO 2025,Chatbot Arena Elo,CMIMC 2025,Codeforces Rating,CritPt,FrontierMath,GPQA Diamond,GSM8K,HLE (Humanity's Last Exam),HMMT Feb 2025,HMMT Nov 2025,HumanEval,IFEval,LiveBench,LiveCodeBench,MATH-500,MathArena Apex 2025,MMLU,MMLU-Pro,MMMU,MMMU-Pro,MRCR v2,OSWorld,SimpleQA,SMT 2025,SWE-bench Pro,SWE-bench Verified,Tau-Bench Retail,Tau-Bench Telecom,Terminal-Bench 2.0,Terminal-Bench 1.0,USAMO 2025,Video-MMU
amazon-nova-premier,Amazon Nova Premier,26.546619753417293,42.618894259881955,50.027463890543274,-12.174717058226754,-6.685610334519986,68.41360295953965,28.397253858362525,36.4250765688283,12.062982608534519,39.699910543767295,28.153142726534938,-0.07054829845892724,14.402500867043639,43.290043290043286,84.04439209461076,5.294307891137191,20.258365845611966,33.73345074165992,65.42056074766354,76.40653357531761,45.12281452636902,41.68511679218287,71.66123778501628,31.80634359097657,84.28571428571429,71.39506176816032,0.0,68.00089820651614,97.09413875211996,55.92691502350858,13.62404251706236,36.05042246678419,69.4363683491035,27.221172022684303,48.91102779962513,54.36486857124865,46.21520972015151,-14.489202762049148,-13.194829164563263,56.83922944704431
amazon-nova-pro,Amazon Nova Pro,46.61606111150288,38.46713834255883,56.62171164408571,-13.888355260066906,3.8143566440910903,72.37337992030517,85.13853873258218,77.90379025178106,32.19915805742187,75.95012007964604,27.881244022208254,26.42093596209974,55.90852839579678,31.601731601731604,85.96550082204155,52.45163850663277,71.23149751075313,52.118625085330955,61.6822429906542,72.77676950998185,72.10251606504646,40.601938997481064,58.631921824104225,41.317176657888425,80.71428571428572,56.48202809875195,33.26536728604979,61.65357971017232,112.66646959509198,71.27412380993745,34.29013466761406,80.00510684971616,99.46701677634624,10.025448834150579,54.60714366937928,102.7658391839273,52.139958958444616,-23.114827688548274,9.464377811771083,59.437513204504704
claude-3.7-sonnet,Claude 3.7 Sonnet,32.69512062113028,78.94736842105263,44.28739693757361,30.425531914893618,1.297016861219196,64.14686825053995,-29.374488496453562,0.0,20.73170731707317,37.85019663411094,37.83783783783784,-17.231927775663767,0.0,86.29148629148628,77.11085915408563,-27.49822612032739,-25.701853253732512,59.625286638173904,91.58878504672897,96.73321234119783,15.531929295280488,67.13375796178345,94.78827361563518,3.510134799562062,88.09523809523809,81.61201348452344,29.164825452938558,102.15348357763528,43.294397952884005,0.0,21.731748726655354,0.0,8.50439882697948,64.83931947069942,55.601659751037346,0.0,47.23290419912693,65.12141280353202,2.6245402875292543,92.88823430013983
claude-haiku-4.5,Claude Haiku 4.5,88.35743392873268,93.10561752972238,95.64193168433451,50.744680851063826,5.188067444876784,85.03477400951299,-16.233671083916256,60.480630663200266,54.287073278343364,39.670471624958026,62.88381192655968,0.662578759589137,-5.601183713271199,80.66378066378067,70.96999126975948,34.496294906257205,63.544487225631784,39.22641605832133,86.91588785046729,81.85117967332124,0.0,50.57324840764331,85.01628664495114,-16.090212726116956,71.42857142857143,77.01501685565431,55.501612919299006,16.780298449647365,29.661804190919163,50.78299776286354,25.561470513803606,63.26147907476309,49.12023460410559,85.63327032136104,30.407525792716978,81.46334932067217,38.532110091743114,63.488533585331915,63.46333501444066,85.35030649228692
claude-opus-4,Claude Opus 4,49.924993773178414,74.21052631578947,88.22143698468787,37.97872340425532,11.154345006485086,59.61123110151188,-4.324280550666469,32.55598862722556,33.46865906263795,53.33639073949309,48.91891891891892,1.694915254237288,14.164305949008499,84.12698412698413,82.46292647938385,7.311827956989246,0.0,66.61644333907229,88.56723777853337,90.38112522686026,30.257628641152145,44.71337579617833,91.85667752442997,8.589503848623174,87.6190476190476,94.79007048728162,50.817498895271775,91.34787353039349,49.390187256756754,22.818791946308732,16.298811544991516,34.51038381631256,38.41642228739003,97.16446124763705,56.431535269709556,36.214993189810016,61.314984709480115,73.50993377483444,17.969106162597015,94.88879650074429
claude-opus-4.1,Claude Opus 4.1,59.97709020853664,86.34730557468934,40.63604240282685,75.8426735167554,27.47971833077784,40.56112312905381,11.95545342185368,52.42918741665333,57.71179584917579,58.22840398057052,60.433701333753966,21.16481036030167,28.328611898016998,80.66378066378067,67.91802192647336,67.31182795698925,46.01595823781963,68.83621345682563,89.7196261682243,77.33534068588307,29.967426710097726,64.8407643312102,94.75687694397747,9.191152770014172,87.6190476190476,96.81274900398407,67.72712996229994,67.06156505695675,24.139714309717366,36.6890380313199,51.44312393887947,53.333688439328434,0.0,87.90170132325142,54.272734061411605,54.58169354451135,53.36391437308868,84.10596026490066,41.329607669019666,82.67397770203543
claude-opus-4.5,Claude Opus 4.5,18.102340244072526,89.47368421052632,91.51943462897526,85.1063829787234,48.76783398184177,21.371184211683367,56.801909307875874,76.28029029522827,79.26829268292683,24.266208427192996,57.20720720720721,62.30970238356385,45.3257790368272,89.46608946608947,90.37942089227401,72.90322580645162,92.21556886227546,27.736551425811097,93.6448598130841,90.92558983666062,100.0,70.95541401273886,76.5472312703583,81.93925134963565,92.38095238095238,84.67667790376953,69.37693327441453,42.75327139869072,75.44610474174647,85.68232662192392,99.83022071307302,62.04530358130422,68.0058651026393,100.0,87.55186721991701,97.81312127236582,83.63914373088683,24.581419656563433,-4.56123765796282,0.0
claude-opus-4.6,Claude Opus 4.6,9.090909090909092,91.33405289481719,100.0,100.0,89.23476005188068,11.200125951242017,95.46539379474939,90.31706632122483,100.0,40.58478141419071,83.33333333333334,71.1864406779661,99.1501416430595,95.67099567099568,103.22253110877755,78.06451612903224,106.93371907146455,42.218741369424976,93.45794392523365,98.18511796733212,127.1583235611609,81.14649681528662,89.57654723127035,107.8981185107682,92.38095238095238,87.74134232301563,53.026955368979245,66.30036630036629,100.0,100.0,99.83022071307302,73.92640289085134,96.48093841642232,99.81096408317579,100.0,97.81312127236582,91.43730886850152,21.380775385787153,-16.374864521834347,9.126227181395182
claude-sonnet-4,Claude Sonnet 4,44.11884305674018,40.421052631578945,72.08480565371023,42.5531914893617,7.652399481193256,50.863930885529165,8.627184023052434,33.06392105634313,28.10306578048896,58.160129278326785,43.61984094345813,1.2408490784201411,24.2232656798527,72.72727272727273,80.10561210354112,4.516129032258063,0.0,67.6225909600409,80.37383177570094,86.5698729582577,35.30340140396268,46.11464968152866,91.20521172638436,13.07451139791152,82.14285714285714,90.34630707937481,41.53778170570043,94.73648191401247,56.97723078668357,31.319910514541384,4.584040747028864,35.57219827895477,58.6510263929619,84.49905482041588,52.69709543568464,36.74089040646183,54.12844036697248,67.77041942604856,11.957993276873303,90.4679156834075
claude-sonnet-4.5,Claude Sonnet 4.5,79.86758295905975,87.36842105263159,84.68786808009423,67.76595744680851,17.639429312581065,65.30431861450285,4.565850665334913,73.16359379572724,68.9506422087209,37.15722120658135,30.630630630630627,20.467335451088832,19.383469586720324,84.27128427128429,73.40308206303524,34.623655913978496,75.80838323353294,48.433166791426686,74.76635514018692,88.2032667876588,27.36156351791533,70.95541401273886,94.13680781758956,4.656716417910448,82.14285714285714,96.16916947594238,56.562085726911185,15.38461538461537,0.0,74.72035794183445,57.385398981324286,74.34782608695649,61.290322580645174,93.00567107750473,76.34854771784232,97.4155069582505,60.70336391437308,100.0,59.01063227133463,76.79306275415135
claude-sonnet-4.6,Claude Sonnet 4.6,0.0,80.43697107066951,96.46643109540636,58.51063829787234,78.33981841763944,16.385138082291558,81.14558472553698,79.71668317035953,75.91259903342504,35.291272439413504,54.5045045045045,69.41173492595529,84.98583569405099,70.85137085137085,96.497658848522,73.76344086021504,92.92113703576365,35.566742403236724,89.7196261682243,94.55535390199637,113.46496104863903,78.59872611464968,95.27687296416937,97.20491276869775,90.47619047619048,84.67667790376953,40.653999116217435,56.043956043956044,86.61800486618006,99.55257270693511,93.03904923599322,65.16066625196989,74.78005865102642,97.54253308128543,87.96680497925308,95.42743538767397,85.6269113149847,11.096944012382762,-18.415488944389992,9.53473480361625
command-a,Command A,46.83778630321434,26.31578947368421,44.65844755682439,-20.851614733829464,-2.9803038967793314,72.89416846652269,99.76705020044038,73.81562758598697,23.044493829363724,106.4880214819689,18.642804452071694,23.771806319607823,75.95720201909646,28.860028860028862,89.88068255237977,45.50678149755624,51.26077648523893,84.47012448694704,70.84112149532712,80.58076225045372,77.72365449134031,20.0,68.40390879478826,38.78070511709862,79.76190476190477,59.39319644498927,38.07860340713226,105.78577134427577,119.07552213151322,50.13976253330971,31.91850594227505,80.50068980684999,92.08400087165762,18.903591682419655,65.02860260553193,90.38740824497019,59.85137812460388,-6.013773769485948,6.303406874708542,86.3442399857065
deepseek-r1,DeepSeek-R1,42.258722181000664,78.73684210526315,64.6643109540636,15.957446808510639,1.6861219195849548,94.81641468682506,4.071455867692626,43.89815627743634,26.82926829268293,26.400737907710404,55.36036036036036,6.214689265536724,-2.607685954959427,67.09956709956711,95.68637401674701,10.32258064516129,30.898203592814376,25.686837913630587,95.51401869158877,78.76588021778585,39.00889827068925,68.28025477707007,96.57980456026057,26.94587729295458,92.38095238095238,90.80600674226173,21.788269351978414,52.602893752538336,89.67607690575358,70.04279523368687,28.69269949066215,26.929347826086964,72.04836279270125,40.07561436672968,50.58108621606967,65.80209106356226,48.77684064673787,0.0,4.480106987629555,62.64572969646854
deepseek-r1-0528,DeepSeek-R1-0528,81.57870242879484,90.94736842105263,85.27679623085984,22.5531914893617,1.4267185473411155,98.1563204098368,11.325245946696478,78.05092186128184,50.0,42.87020109689214,50.9009009009009,5.229213292787454,14.164305949008499,80.8080808080808,89.23927516873941,30.107526881720432,76.04790419161678,38.28743323115708,75.88785046728971,71.14337568058076,31.379393945675947,77.45222929936305,96.57980456026057,3.1044776119402986,92.38095238095238,92.33833895188477,46.5711533642198,28.616985429216165,70.89585331325031,71.03685450973059,24.787775891341262,71.79347826086955,79.42426801144667,55.954631379962194,41.08466574053408,99.85096899768615,39.82456648056283,27.337355012295266,46.77365429622199,81.73421305263759
deepseek-r1-distill-llama-70b,DeepSeek-R1-Distill-Llama-70B,45.25403649878476,68.42105263157895,64.6643109540636,39.353854135025564,12.755688179922936,45.63592263555584,30.64671561788209,44.80446351759023,35.88712975533149,69.5810927026885,37.52252252252252,14.202626162793138,43.56601714382661,58.00865800865802,75.16638263543993,21.32239869015933,20.83832335329341,74.67893282067645,65.42056074766354,78.29984490757826,46.2950564329257,57.5796178343949,92.01954397394137,18.83217766730963,80.95238095238095,80.24525067102401,49.84575387033926,93.3909526992841,55.48244116838325,24.38527087722317,36.06715865375606,47.584555429072104,38.755523077872624,60.464642864500526,59.14167430359302,47.48638661038915,54.27637552054947,60.34579192331579,17.579828596927626,85.78474468563181
deepseek-r1-distill-llama-8b,DeepSeek-R1-Distill-Llama-8B,58.58965137173807,47.78947368421053,14.958775029446409,51.59840252225035,13.778959575037325,14.14686825053996,46.29745222520146,45.26413720235534,37.54118196293219,103.50587721839292,18.243243243243242,21.661134627682493,72.94909259255974,34.63203463203464,32.01362774242408,38.466768116567195,24.45584438109703,107.02226171225918,33.83117656777651,34.66424682395645,30.143954772042076,36.624203821656046,83.22475570032572,-12.075496033938473,31.436150418419988,42.789206446847224,70.84935419281383,94.8315770762283,0.08364981769075285,-27.62370870547604,36.82558068749371,56.38925966031704,0.7066368745646696,57.334653505297204,42.35422679501856,32.294089001040426,36.040879266836754,106.40524931995884,52.9359107041233,99.39382929758887
deepseek-r1-distill-qwen-1.5b,DeepSeek-R1-Distill-Qwen-1.5B,61.766749227429706,25.157894736842103,9.069493521790342,44.81618746107243,11.92380768392951,0.0,61.13470852243125,48.46818695351552,35.303761846546905,114.51334618174633,6.936936936936937,26.56240754399972,85.28499878325232,12.698412698412694,7.698916452693128,51.12586230901034,30.905579739386294,111.42576043193696,6.695705396251742,0.0,23.633580965714994,3.503184713375794,74.7557003257329,-23.87429891371716,2.2042530846005435,14.355157110566859,73.85263650043602,80.97418448316627,-20.00864214808853,-44.676946306452315,34.26784941921823,63.057312247249136,-8.70602669859233,42.0348836670426,28.71483292685674,32.28367257767438,22.624453443031747,107.59563578504306,67.03674950015969,93.50065704156222
