model_name,AA Intelligence Index,AA Long Context Reasoning,AIME 2024,AIME 2025,AIME 2026,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,BigCodeBench,BrowseComp,BRUMO 2025,Chatbot Arena Elo,CMIMC 2025,Codeforces Rating,CritPt,FrontierMath,GDP-Val AA,GPQA Diamond,GSM8K,HLE (Humanity's Last Exam),HMMT Feb 2025,HMMT Nov 2025,HumanEval,IFBench,IFEval,IMO 2025,LiveBench,LiveCodeBench,MATH-500,MathArena Apex 2025,MathVision,MMLU,MMLU-Pro,MMMU,MMMU-Pro,MRCR v2,OSWorld,SciCode,SimpleBench,SimpleQA,SMT 2025,SWE-bench Pro,SWE-bench Verified,Tau-Bench Retail,Tau-Bench Telecom,Terminal-Bench 2.0,Terminal-Bench 1.0,USAMO 2025,Video-MMU
Amazon Nova Premier,,,,,,,,,,,,,,,,,,55.0,,,,,80.0,,82.0,,,,82.0,,,87.4,,65.0,,,,,,,,,42.4,,,,,,
Amazon Nova Pro,,,,,,,,,,,,,,,,,,46.9,,,,,78.0,,80.0,,,,74.0,,,85.9,,,,,,,,,,,,,,,,,
Claude 3.7 Sonnet,,,80.0,52.7,,28.6,1.0,63.9,,,65.83,1372.0,,1640.0,,5.0,,84.8,,,,,94.0,,93.2,,,65.0,96.2,,,89.0,78.0,71.6,,,28.0,,,26.0,56.6,25.6,62.3,81.2,49.0,,35.2,3.65,
Claude Haiku 4.5,,,,96.3,,47.7,4.0,,,,,,,,,,,80.9,,,,,91.5,,85.0,,45.3,52.0,90.2,,,82.0,75.0,,,,50.7,,,,,39.45,73.3,,,28.3,,,
Claude Opus 4,,,75.5,90.0,,35.7,8.6,59.7,,,,,,1886.0,0.3,10.0,,83.3,,7.1,15.9,,,,89.7,,,47.4,94.4,,,88.8,86.6,76.5,,,38.2,,,22.8,,35.8,79.4,81.4,,43.2,39.0,,
Claude Opus 4.1,,,,49.6,,,,,,,,,,,,15.0,,80.9,,35.0,,,93.0,,,,54.5,63.2,,,,88.8,87.92,,,,44.4,,,43.5,,22.7,74.5,,,38.0,43.8,,
Claude Opus 4.5,,75.0,90.0,92.8,,80.0,37.6,,,67.8,,1468.0,,2070.0,,21.0,,87.0,,37.6,92.9,,95.1,,90.0,,76.0,68.0,85.0,,,90.8,80.0,80.7,,,66.3,,62.0,72.0,,45.89,80.9,88.9,98.2,57.8,,,68.4
Claude Opus 4.6,53.0,,,100.0,,94.0,68.8,,,84.0,,1502.0,,2650.0,12.6,40.0,1606.0,91.3,,40.0,,,95.0,,94.0,,,76.0,93.0,,,90.8,82.0,77.0,77.3,93.0,72.7,,67.6,72.0,,55.6,80.8,91.9,98.2,62.9,,,
Claude Sonnet 4,,,43.4,76.3,,40.0,5.9,51.6,,,,,,,,,,75.4,,5.8,15.9,,88.0,42.3,87.6,,,48.5,94.0,,,86.5,83.7,74.4,,,42.0,,,15.9,,42.7,72.7,80.5,,38.5,36.4,,
Claude Sonnet 4.5,,,88.0,87.0,,63.7,13.6,,,,90.83,,66.88,1480.0,,,,83.4,,19.8,79.2,,85.0,,88.5,,53.7,68.0,95.8,1.56,,86.5,87.5,77.8,63.4,10.8,61.4,,,47.0,83.96,43.6,77.2,86.2,98.0,42.8,51.0,,
Claude Sonnet 4.6,51.0,,,97.0,,55.0,60.4,,,78.0,,,,2010.0,,35.0,1633.0,74.1,,38.0,,,93.0,,92.0,,,74.0,96.5,,,90.0,80.0,74.2,74.5,82.0,72.5,,,68.0,,48.2,79.6,89.0,97.0,59.1,,,
Codestral 25.01,,,,,,,,,,,,,,,,,,,,,,,86.6,,,,,37.9,74.0,,,,,,,,,,,,,,,,,,,,
Command A,,,30.0,,,,,72.0,33.8,,,,,,,,,45.0,,,,,82.9,,84.3,,,28.0,80.0,,,85.5,63.5,,,,,,,32.0,,,38.0,,,,,,
DeepSeek-R1,,,79.8,70.0,,15.0,1.3,92.3,,,80.83,1382.0,,2029.0,1.1,,,71.5,97.3,8.5,41.7,,96.1,38.0,83.3,,,65.9,97.3,,,90.8,84.0,,,,,,,30.1,66.51,,49.2,,,,5.7,4.76,
DeepSeek-R1-0528,,,91.4,87.5,,21.2,1.1,,,,92.5,1420.0,69.38,1930.0,,10.0,,81.0,,17.7,79.4,,85.6,,79.1,6.85,,73.1,97.3,1.04,,90.8,85.0,,,,,,,27.8,83.02,,57.6,,,,,30.06,
DeepSeek-R1-Distill-Llama-70B,,,70.0,70.0,,,,,,,,,,1633.0,,,,65.2,,,33.3,,80.0,,,,,57.5,94.5,,,86.0,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Llama-8B,,,50.4,27.8,,,,17.6,,,,,,1205.0,,,,49.0,,,,,,,59.0,,,41.05,89.1,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-1.5B,,,28.9,22.8,,,,4.5,,,,,,954.0,,,,33.8,,,,,,,39.9,,,15.049999999999999,83.9,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-14B,,,69.7,,,,,,,,,,,1481.0,,,,59.1,,,,,,,,,,53.1,93.9,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,,,72.6,72.6,,,,,,,,,,1691.0,,,,62.1,,,,,82.0,,,,,57.2,94.3,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,,,55.5,,,,,,,,,,,1189.0,,,,49.1,,,,,,,,,,37.6,92.8,,,,,,,,,,,,,,,,,,,,
DeepSeek-V3,,,39.2,39.2,,,,85.5,50.0,,,1382.0,,1134.0,,,,59.1,89.3,,,,65.2,,86.1,,,39.2,90.2,,,88.5,75.9,,,,,,,24.9,,,42.0,,,,,,
DeepSeek-V3-0324,,,59.4,46.7,,,,39.9,,,,,,1650.0,,,,68.4,,5.2,27.5,,85.0,,81.1,,,49.2,94.0,,,89.4,81.2,,,,,,,27.7,,,38.8,,,,,,
DeepSeek-V3.2,,,93.0,93.1,,,,,,51.4,96.67,,83.75,2386.0,,8.0,,82.4,,25.1,92.5,90.0,90.0,,89.0,,62.2,83.3,97.3,2.08,,90.5,85.0,,81.0,,,,,35.0,87.74,,73.0,,,39.6,,,
DeepSeek-V3.2-Speciale,,,96.0,96.0,,,,,,,99.17,,94.38,2701.0,,,,85.7,,30.6,99.2,93.33,91.5,,88.0,83.3,,88.7,98.0,9.38,,,87.5,,,,,,,,89.15,,76.0,,,,,,
Devstral 2,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,60.0,,,,,,,,,,,,,,,72.2,,,,,,
Doubao Seed 2.0 Pro,,,98.3,98.3,,,,,,77.3,,,,3020.0,,,,88.9,,40.0,,,92.0,,88.5,,,88.0,,,88.8,90.0,88.0,85.4,,,,,,,,,76.5,,,55.8,,,89.5
EXAONE 4.0 32B,,,72.1,85.3,,,,80.0,,,,,,1650.0,,,,75.4,,,72.9,,90.2,,88.0,,,72.6,96.4,,,84.0,81.8,,,,,,,30.0,,,45.0,,,,,,
Falcon3-10B-Instruct,,,8.0,,,,,,,,,,,,,,,30.0,,,,,72.0,,78.17,,,22.0,62.0,,,73.1,42.5,,,,,,,,,,,,,,,,
Gemini 2.0 Flash,,,73.3,,,,1.0,50.0,45.9,,,,,,,,,74.2,,,,,82.6,,80.0,,,45.2,83.9,,,76.4,76.4,70.7,,,,,,27.0,,,42.0,,,,,,
Gemini 2.5 Flash,,,88.0,72.0,,33.3,2.5,83.9,,,83.33,,50.62,1995.0,1.1,,,78.3,,15.6,64.2,,90.2,,84.3,,47.7,63.9,95.2,,,85.0,81.1,73.5,,,,,,28.1,75.47,,63.8,,,16.9,16.8,,
Gemini 2.5 Pro,70.0,,92.0,86.7,,41.0,4.9,90.8,,,90.0,1437.0,58.13,2001.0,2.0,5.0,,84.0,,18.8,82.5,66.67,,52.3,90.8,31.55,58.3,70.4,97.3,0.5,,89.8,85.6,81.7,,83.1,,,62.4,52.9,84.91,,63.8,,,32.6,25.3,24.0,84.8
Gemini 3 Flash,,,93.0,90.4,,84.7,33.6,,,75.0,100.0,1473.0,90.62,2100.0,,30.0,,90.4,,33.7,,93.33,,,88.2,,72.4,90.8,,15.62,,91.8,88.59,87.63,81.2,,50.0,,,60.0,92.92,34.63,78.0,82.0,,51.7,,,86.9
Gemini 3 Pro,,,97.0,95.0,,75.0,31.1,,,85.9,98.33,1501.0,90.0,2512.0,9.1,38.0,,91.9,,37.5,97.5,93.33,93.0,,90.0,,73.4,79.7,97.3,23.4,,91.8,89.8,87.51,81.0,77.0,55.0,56.1,,72.1,93.4,43.3,76.2,88.5,99.3,56.9,,,87.6
Gemini 3.1 Pro,57.0,,98.0,100.0,97.0,90.0,77.1,,,85.9,,1490.0,,2700.0,17.7,40.0,,94.3,,44.4,,,95.0,,89.2,,,82.0,98.5,33.5,69.8,92.6,89.5,87.5,80.5,84.9,72.0,58.9,79.6,72.1,,54.2,80.6,90.5,,68.5,,,
Gemma 3 27B,,,22.0,,,,,69.9,,,,1338.0,,,,,,42.4,92.3,,,,87.8,,78.0,,,29.7,78.0,,,76.9,67.5,,,,,,,22.0,,,32.0,,,,,,
GLM-4.6,,,,80.0,,,,,,,,,,,,,,85.7,,24.8,,,82.0,,82.0,,,70.0,,,,85.0,80.0,,,,,,,,,,68.0,,,24.5,,,
GLM-4.7,,,,95.7,,,,,,65.0,,1445.0,,,,20.0,,85.7,,42.8,97.1,,,,,,58.1,84.9,,,,90.1,86.0,,,,,,,32.0,,,73.8,,,33.4,,,
GPT-4.1,,,46.5,46.4,,5.5,0.4,61.5,,,,,,1807.0,,,,66.3,,3.7,19.4,,92.0,,87.4,,,44.7,92.4,,,90.2,81.8,74.8,,80.0,,,,42.3,,,54.6,,,,30.3,,
GPT-4.1 mini,,,,,,3.5,0.0,28.2,48.9,,,,,,,,,55.0,,,,,90.0,,84.1,,,,,,,86.0,,71.1,,,,,,20.0,,,,,,,,,
GPT-4.1 nano,,,,,,0.0,0.0,10.7,,,,,,,,,,50.3,,,,,78.0,,75.0,,,,,,,80.1,,,,,,,,,,,,,,,,,
GPT-4.5,,,36.7,,,10.3,0.8,51.4,,,,,,,,,,71.4,,,,,86.6,,86.5,,,,,,,89.6,74.3,,,,,,,62.5,,,38.0,,,,,,
GPT-5,68.0,75.6,94.6,94.6,,65.7,9.9,,,54.9,91.67,1460.0,90.0,2537.0,5.7,25.2,,88.4,,35.2,88.3,89.17,94.0,,90.0,38.1,70.5,84.5,99.4,1.04,,91.0,87.0,84.2,,,40.0,,61.6,55.0,91.98,41.78,74.9,,97.0,35.2,41.3,,
GPT-5.1,,75.0,,94.0,,72.8,17.6,,,60.0,93.33,1464.0,91.88,,,31.0,,88.1,,32.0,,91.67,,,,,,82.0,99.0,1.04,,90.0,87.5,84.2,85.4,,,,,55.0,91.04,45.0,76.3,,,47.6,,,
GPT-5.2,70.0,75.7,100.0,100.0,,90.5,52.9,,,77.9,98.33,1440.0,91.25,2800.0,11.6,40.3,,93.2,,35.2,99.4,95.83,95.0,,95.0,,,80.0,99.4,13.54,,88.0,86.7,86.67,86.5,70.0,38.2,54.6,,58.0,91.98,55.6,80.0,88.0,98.7,54.0,,,90.5
GPT-5.3-Codex,,,,94.0,,,,,,,,,,,,,,81.0,99.0,,,,93.0,,92.0,,,85.0,96.0,,,94.0,,84.0,,,64.7,,,,,56.8,56.8,,,64.7,,,
gpt-oss-120B,,,96.6,97.9,,,,,,,,,,2620.0,,,,80.9,,,,,92.0,,88.0,,,75.0,98.0,,,90.0,90.0,,,,,,,,,,62.4,67.8,,18.7,,,
gpt-oss-20B,,,98.7,98.7,,,,,,,,,,1985.0,,,,71.5,,,,,85.0,,85.0,,,70.0,97.0,,,85.3,85.3,,,,,,,,,,52.0,,,3.1,,,
Grok 3 Beta,,,93.3,93.3,,5.5,0.0,,,,,1402.0,,,,,,84.6,,18.2,,,87.3,,84.0,,,79.4,99.2,,,88.0,79.9,,,,,,,31.0,,,48.5,,,,17.5,,
