model_name,GPQA Diamond,AIME 2025,MMLU,MMLU-Pro,SWE-bench Verified,MATH-500,LiveCodeBench,FrontierMath,HLE (Humanity's Last Exam),ARC-AGI-2,BrowseComp,SimpleQA,IFEval,HumanEval,Codeforces Rating,OSWorld,MMMU,MMMU-Pro,Arena-Hard Auto,Chatbot Arena Elo,SWE-bench Pro,AIME 2024,HMMT Feb 2025,Tau-Bench Retail,Tau-Bench Telecom,Video-MMU,MRCR v2,AA Intelligence Index,AA Long Context Reasoning,CritPt,SciCode,MathVision,GDP-Val AA,GSM8K,IFBench,Terminal-Bench 2.0,Terminal-Bench 1.0,ARC-AGI-1,BRUMO 2025,SMT 2025,USAMO 2025,HMMT Nov 2025,CMIMC 2025,IMO 2025,AIME 2026,MathArena Apex 2025,LiveBench,SimpleBench,BigCodeBench
o3-mini (high),79.7,86.5,86.9,80.0,49.3,97.9,74.1,11.0,13.0,3.0,,13.8,88.0,97.6,2130.0,,,,43.0,1364.0,,87.3,50.0,,,,,,,,,,,,,,,34.5,,,2.08,,,,,,,,
GPT-4.5,71.4,,89.6,74.3,38.0,,,,,0.8,,62.5,86.5,86.6,,,,,51.4,,,36.7,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,
GPT-4.1,66.3,46.4,90.2,81.8,54.6,92.4,44.7,,3.7,0.4,,42.3,87.4,92.0,1807.0,,74.8,,61.5,,,46.5,19.4,,,,80.0,,,,,,,,,,30.3,5.5,,,,,,,,,,,
GPT-4.1 mini,55.0,,86.0,,,,,,,0.0,,20.0,84.1,90.0,,,71.1,,28.2,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,48.9
GPT-4.1 nano,50.3,,80.1,,,,,,,0.0,,,75.0,78.0,,,,,10.7,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
o3 (high),87.7,88.9,93.3,85.9,69.1,99.2,75.8,10.0,19.78,6.5,49.7,48.6,92.1,88.4,2706.0,,80.1,75.0,85.9,,,96.7,77.5,,,,,,69.0,1.4,,,,,69.3,,30.2,75.7,95.83,87.74,21.9,,79.38,16.67,,,,,
o4-mini (high),81.4,92.7,90.3,81.9,68.1,98.2,80.2,17.0,18.9,6.1,,19.3,92.4,98.5,2719.0,,79.7,,79.1,,,93.4,66.7,,,,,,,0.6,,,,,,,18.5,58.7,86.67,88.68,19.3,,84.38,14.29,,,,,
GPT-5,88.4,94.6,91.0,87.0,74.9,99.4,84.5,25.2,35.2,9.9,54.9,55.0,90.0,94.0,2537.0,40.0,84.2,,,1460.0,41.78,94.6,88.3,,97.0,,,68.0,75.6,5.7,,,,,,35.2,41.3,65.7,91.67,91.98,,89.17,90.0,38.1,,1.04,70.5,61.6,
gpt-oss-120B,80.9,97.9,90.0,90.0,62.4,98.0,75.0,,,,,,88.0,92.0,2620.0,,,,,,,96.6,,67.8,,,,,,,,,,,,18.7,,,,,,,,,,,,,
gpt-oss-20B,71.5,98.7,85.3,85.3,52.0,97.0,70.0,,,,,,85.0,85.0,1985.0,,,,,,,98.7,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,
GPT-5.1,88.1,94.0,90.0,87.5,76.3,99.0,82.0,31.0,32.0,17.6,60.0,55.0,,,,,84.2,85.4,,1464.0,45.0,,,,,,,,75.0,,,,,,,47.6,,72.8,93.33,91.04,,91.67,91.88,,,1.04,,,
GPT-5.2,93.2,100.0,88.0,86.7,80.0,99.4,80.0,40.3,35.2,52.9,77.9,58.0,95.0,95.0,2800.0,38.2,86.67,86.5,,1440.0,55.6,100.0,99.4,88.0,98.7,90.5,70.0,70.0,75.7,11.6,54.6,,,,,54.0,,90.5,98.33,91.98,,95.83,91.25,,,13.54,,,
GPT-5.3-Codex,81.0,94.0,94.0,,56.8,96.0,85.0,,,,,,92.0,93.0,,64.7,84.0,,,,56.8,,,,,,,,,,,,,99.0,,64.7,,,,,,,,,,,,,
Claude 3.7 Sonnet,84.8,52.7,89.0,78.0,62.3,96.2,65.0,5.0,,1.0,,26.0,93.2,94.0,1640.0,28.0,71.6,,63.9,1372.0,25.6,80.0,,81.2,49.0,,,,,,,,,,,,35.2,28.6,65.83,56.6,3.65,,,,,,,,
Claude Sonnet 4,75.4,76.3,86.5,83.7,72.7,94.0,48.5,,5.8,5.9,,15.9,87.6,88.0,,42.0,74.4,,51.6,,42.7,43.4,15.9,80.5,,,,,,,,,,,42.3,38.5,36.4,40.0,,,,,,,,,,,
Claude Opus 4,83.3,90.0,88.8,86.6,79.4,94.4,47.4,10.0,7.1,8.6,,22.8,89.7,,1886.0,38.2,76.5,,59.7,,35.8,75.5,15.9,81.4,,,,,,0.3,,,,,,43.2,39.0,35.7,,,,,,,,,,,
Claude Opus 4.1,80.9,49.6,88.8,87.92,74.5,,63.2,15.0,35.0,,,43.5,,93.0,,44.4,,,,,22.7,,,,,,,,,,,,,,,38.0,43.8,,,,,,,,,,54.5,,
