model_name,AIME 2024,AIME 2025,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,BrowseComp,BRUMO 2025,Chatbot Arena Elo,CMIMC 2025,Codeforces Rating,CritPt,FrontierMath,GPQA Diamond,GSM8K,HLE (Humanity's Last Exam),HMMT Feb 2025,HMMT Nov 2025,HumanEval,IFEval,LiveBench,LiveCodeBench,MATH-500,MathArena Apex 2025,MMLU,MMLU-Pro,MMMU,MMMU-Pro,OSWorld,SimpleQA,SMT 2025,SWE-bench Pro,SWE-bench Verified,Tau-Bench Retail,Terminal-Bench 2.0,Terminal-Bench 1.0
Amazon Nova Premier,67.91850594227506,73.4314880251276,46.12367021276595,21.377196085367295,62.057089486895116,57.86097852028639,76.50755510373828,55.36077235772358,71.42837939563394,52.43069993069993,29.755178907721284,48.99562194179759,43.29004329004329,73.87356363504549,46.88794567062819,60.68263473053892,78.10070873342478,65.42056074766356,76.4065335753176,51.167209554831715,60.52161358811041,71.66123778501628,23.143656716417908,84.28571428571429,79.08455364717274,0.0,66.1876584953508,54.64500176616037,42.403243130868645,77.48283752860411,56.446982559036904,27.221172022684303,69.95159059474412,57.164700742682385,49.91415256315919
Amazon Nova Pro,67.91850594227506,73.4314880251276,46.12367021276595,21.377196085367295,62.057089486895116,57.86097852028639,76.50755510373828,55.36077235772358,71.42837939563394,52.43069993069993,29.755178907721284,48.99562194179759,31.601731601731604,73.87356363504549,46.88794567062819,60.68263473053892,78.10070873342478,61.6822429906542,72.77676950998185,51.167209554831715,60.52161358811041,58.63192182410423,23.143656716417908,80.71428571428572,79.08455364717274,59.48004124318752,66.1876584953508,54.64500176616037,42.403243130868645,77.48283752860411,56.446982559036904,63.33366497529267,69.95159059474412,57.164700742682385,49.91415256315919
Claude 3.7 Sonnet,78.94736842105263,44.28739693757361,30.425531914893618,1.297016861219196,64.14686825053997,57.86097852028639,0.0,20.73170731707317,71.42837939563394,37.83783783783784,29.755178907721284,0.0,86.2914862914863,73.87356363504549,46.88794567062819,60.68263473053892,78.10070873342478,91.58878504672897,96.73321234119781,51.167209554831715,67.13375796178345,94.78827361563518,23.143656716417908,88.0952380952381,81.61201348452346,29.164825452938558,66.1876584953508,0.0,21.73174872665535,0.0,8.50439882697948,64.83931947069942,55.601659751037346,57.164700742682385,65.12141280353202
Claude Haiku 4.5,67.91850594227506,95.64193168433451,50.744680851063826,5.188067444876784,62.057089486895116,57.86097852028639,76.50755510373828,55.36077235772358,71.42837939563394,52.43069993069993,29.755178907721284,48.99562194179759,80.66378066378068,73.87356363504549,46.88794567062819,60.68263473053892,78.10070873342478,86.91588785046729,81.85117967332123,0.0,50.57324840764332,85.01628664495114,23.143656716417908,71.42857142857143,77.01501685565431,59.48004124318752,66.1876584953508,50.782997762863545,42.403243130868645,77.48283752860411,49.12023460410559,85.63327032136105,69.95159059474412,38.532110091743114,49.91415256315919
Claude Opus 4,74.21052631578948,88.22143698468787,37.97872340425533,11.154345006485086,59.61123110151188,57.86097852028639,76.50755510373828,55.36077235772358,71.42837939563394,48.91891891891892,1.6949152542372883,14.164305949008499,84.12698412698413,73.87356363504549,7.311827956989246,0.0,78.10070873342478,75.6216927734632,90.38112522686025,51.167209554831715,44.71337579617834,91.85667752442997,23.143656716417908,87.6190476190476,94.79007048728164,50.817498895271775,66.1876584953508,22.81879194630873,16.298811544991516,77.48283752860411,38.41642228739003,97.16446124763706,56.43153526970956,61.314984709480115,73.50993377483444
Claude Opus 4.1,67.91850594227506,40.63604240282685,46.12367021276595,21.377196085367295,62.057089486895116,57.86097852028639,76.50755510373828,55.36077235772358,71.42837939563394,52.43069993069993,29.755178907721284,28.328611898016998,80.66378066378068,73.87356363504549,67.31182795698925,60.68263473053892,78.10070873342478,89.7196261682243,80.43224866440019,29.967426710097726,64.84076433121021,87.27289178429243,23.143656716417908,87.6190476190476,96.81274900398407,59.48004124318752,66.1876584953508,36.6890380313199,51.44312393887947,77.48283752860411,0.0,87.9017013232514,69.95159059474412,53.36391437308868,84.10596026490066
Claude Opus 4.5,89.47368421052632,91.51943462897526,85.1063829787234,48.76783398184177,62.057089486895116,56.801909307875874,76.50755510373828,79.26829268292683,71.42837939563394,57.207207207207205,29.755178907721284,45.3257790368272,89.46608946608947,73.87356363504549,72.90322580645162,92.21556886227545,78.10070873342478,93.6448598130841,90.92558983666062,100.0,70.95541401273886,76.5472312703583,23.143656716417908,92.38095238095237,84.67667790376954,69.37693327441451,66.1876584953508,85.68232662192392,99.83022071307302,77.48283752860411,68.0058651026393,100.0,87.55186721991701,83.63914373088684,49.91415256315919
Claude Opus 4.6,67.91850594227506,100.0,100.0,89.23476005188068,62.057089486895116,95.46539379474939,76.50755510373828,100.0,71.42837939563394,83.33333333333333,71.1864406779661,99.1501416430595,95.67099567099568,73.87356363504549,78.06451612903224,60.68263473053892,78.10070873342478,93.45794392523365,98.18511796733212,51.167209554831715,81.14649681528662,89.57654723127035,23.143656716417908,92.38095238095237,87.74134232301563,53.026955368979245,66.30036630036629,100.0,99.83022071307302,77.48283752860411,96.48093841642232,99.81096408317579,100.0,91.43730886850152,49.91415256315919
Claude Sonnet 4,40.421052631578945,72.08480565371025,42.5531914893617,7.652399481193256,50.86393088552916,57.86097852028639,76.50755510373828,55.36077235772358,71.42837939563394,52.43069993069993,29.755178907721284,48.99562194179759,72.72727272727275,73.87356363504549,4.516129032258064,0.0,78.10070873342478,80.37383177570094,86.5698729582577,51.167209554831715,46.11464968152867,91.20521172638436,23.143656716417908,82.14285714285714,90.34630707937481,41.53778170570043,66.1876584953508,31.319910514541384,4.584040747028865,77.48283752860411,58.6510263929619,84.49905482041586,52.69709543568464,54.12844036697247,67.77041942604858
Claude Sonnet 4.5,87.36842105263158,84.68786808009423,67.76595744680851,17.639429312581065,62.057089486895116,57.86097852028639,73.16359379572724,55.36077235772358,37.15722120658135,30.63063063063063,29.755178907721284,48.99562194179759,84.27128427128429,73.87356363504549,34.6236559139785,75.80838323353294,78.10070873342478,74.76635514018692,88.2032667876588,27.361563517915325,70.95541401273886,94.13680781758957,4.656716417910448,82.14285714285714,96.1691694759424,56.56208572691118,15.384615384615369,74.72035794183445,57.38539898132428,74.34782608695649,61.290322580645174,93.00567107750472,76.34854771784232,60.70336391437308,100.0
Claude Sonnet 4.6,67.91850594227506,96.46643109540636,58.51063829787234,78.33981841763944,62.057089486895116,81.14558472553698,76.50755510373828,55.36077235772358,71.42837939563394,54.5045045045045,29.755178907721284,84.985835694051,70.85137085137085,73.87356363504549,73.76344086021504,60.68263473053892,78.10070873342478,89.7196261682243,94.55535390199637,51.167209554831715,78.59872611464968,95.27687296416937,23.143656716417908,90.47619047619048,84.67667790376954,40.65399911621743,56.043956043956044,99.55257270693512,93.03904923599322,77.48283752860411,74.78005865102642,97.54253308128541,87.9668049792531,85.6269113149847,49.91415256315919
Command A,26.31578947368421,73.4314880251276,46.12367021276595,21.377196085367295,72.89416846652269,57.86097852028639,76.50755510373828,55.36077235772358,71.42837939563394,52.43069993069993,29.755178907721284,48.99562194179759,28.860028860028862,73.87356363504549,46.88794567062819,60.68263473053892,78.10070873342478,70.84112149532712,80.58076225045372,51.167209554831715,20.0,68.40390879478826,23.143656716417908,79.76190476190476,59.39319644498928,59.48004124318752,66.1876584953508,54.64500176616037,31.918505942275047,77.48283752860411,56.446982559036904,18.90359168241966,69.95159059474412,57.164700742682385,49.91415256315919
DeepSeek-R1,78.73684210526316,64.6643109540636,15.957446808510639,1.6861219195849548,94.81641468682506,57.86097852028639,43.89815627743634,26.829268292682926,71.42837939563394,55.36036036036036,6.214689265536724,48.99562194179759,67.0995670995671,95.68637401674701,10.32258064516129,30.898203592814376,78.10070873342478,95.51401869158877,78.76588021778583,51.167209554831715,68.28025477707007,96.57980456026058,23.143656716417908,92.38095238095237,90.80600674226173,59.48004124318752,66.1876584953508,54.64500176616037,28.692699490662147,26.929347826086964,56.446982559036904,40.07561436672968,69.95159059474412,57.164700742682385,0.0
DeepSeek-R1-0528,90.94736842105263,85.27679623085984,22.5531914893617,1.4267185473411157,62.057089486895116,57.86097852028639,78.05092186128182,50.0,42.87020109689214,50.9009009009009,29.755178907721284,14.164305949008499,80.80808080808082,73.87356363504549,30.107526881720432,76.04790419161678,78.10070873342478,75.88785046728971,71.14337568058075,51.167209554831715,77.45222929936305,96.57980456026058,3.1044776119402986,92.38095238095237,92.33833895188478,59.48004124318752,66.1876584953508,54.64500176616037,24.787775891341266,71.79347826086955,56.446982559036904,55.95463137996219,69.95159059474412,57.164700742682385,49.91415256315919
DeepSeek-R1-Distill-Llama-70B,68.42105263157895,64.6643109540636,46.12367021276595,21.377196085367295,62.057089486895116,57.86097852028639,76.50755510373828,55.36077235772358,71.42837939563394,37.52252252252252,29.755178907721284,48.99562194179759,58.00865800865802,73.87356363504549,46.88794567062819,20.83832335329341,78.10070873342478,65.42056074766356,80.43224866440019,51.167209554831715,57.5796178343949,92.01954397394135,23.143656716417908,80.95238095238095,79.08455364717274,59.48004124318752,66.1876584953508,54.64500176616037,42.403243130868645,77.48283752860411,56.446982559036904,63.33366497529267,69.95159059474412,57.164700742682385,49.91415256315919
DeepSeek-R1-Distill-Llama-8B,47.78947368421053,14.958775029446407,46.12367021276595,21.377196085367295,14.14686825053996,57.86097852028639,76.50755510373828,55.36077235772358,71.42837939563394,18.243243243243242,29.755178907721284,48.99562194179759,34.63203463203463,73.87356363504549,46.88794567062819,60.68263473053892,78.10070873342478,75.6216927734632,34.66424682395645,51.167209554831715,36.624203821656046,83.22475570032572,23.143656716417908,78.34590878604962,79.08455364717274,59.48004124318752,66.1876584953508,54.64500176616037,42.403243130868645,77.48283752860411,56.446982559036904,63.33366497529267,69.95159059474412,57.164700742682385,49.91415256315919
